Task_Description,Priority
Submit tax documents,High
Buy groceries for dinner,Medium
Watch new movie,Low
Finish project report,High
Call mom,Medium
Clean the garage,Low
Schedule dentist appointment,Medium
Pay electricity bill,High
Plan weekend trip,Low
Reply to client emails,High
Water the plants,Low
Prepare presentation slides,High
Go for a run,Medium
Read a book,Low
Update software,Medium
Fix critical bug,High
Buy birthday gift,Medium
Organize desktop files,Low
Renew insurance,High
Check social media,Low
Submit tax documents,High
Buy groceries for dinner,Medium
Watch new movie,Low
Finish project report,High
Call mom,Medium
Clean the garage,Low
Schedule dentist appointment,Medium
Pay electricity bill,High
Plan weekend trip,Low
Reply to client emails,High
Water the plants,Low
Prepare presentation slides,High
Go for a run,Medium
Read a book,Low
Update software,Medium
Fix critical bug,High
Buy birthday gift,Medium
Organize desktop files,Low
Renew insurance,High
Check social media,Low
Submit tax documents,High
Buy groceries for dinner,Medium
Watch new movie,Low
Finish project report,High
Call mom,Medium
Clean the garage,Low
Schedule dentist appointment,Medium
Pay electricity bill,High
Plan weekend trip,Low
Reply to client emails,High
Water the plants,Low
Prepare presentation slides,High
Go for a run,Medium
Read a book,Low
Update software,Medium
Fix critical bug,High
Buy birthday gift,Medium
Organize desktop files,Low
Renew insurance,High
Check social media,Low
Submit tax documents,High
Buy groceries for dinner,Medium
Watch new movie,Low
Finish project report,High
Call mom,Medium
Clean the garage,Low
Schedule dentist appointment,Medium
Pay electricity bill,High
Plan weekend trip,Low
Reply to client emails,High
Water the plants,Low
Prepare presentation slides,High
Go for a run,Medium
Read a book,Low
Update software,Medium
Fix critical bug,High
Buy birthday gift,Medium
Organize desktop files,Low
Renew insurance,High
Check social media,Low
Submit tax documents,High
Buy groceries for dinner,Medium
Watch new movie,Low
Finish project report,High
Call mom,Medium
Clean the garage,Low
Schedule dentist appointment,Medium
Pay electricity bill,High
Plan weekend trip,Low
Reply to client emails,High
Water the plants,Low
Prepare presentation slides,High
Go for a run,Medium
Read a book,Low
Update software,Medium
Fix critical bug,High
Buy birthday gift,Medium
Organize desktop files,Low
Renew insurance,High
Check social media,Low
Submit tax documents,High
Buy groceries for dinner,Medium
Watch new movie,Low
Finish project report,High
Call mom,Medium
Clean the garage,Low
Schedule dentist appointment,Medium
Pay electricity bill,High
Plan weekend trip,Low
Reply to client emails,High
Water the plants,Low
Prepare presentation slides,High
Go for a run,Medium
Read a book,Low
Update software,Medium
Fix critical bug,High
Buy birthday gift,Medium
Organize desktop files,Low
Renew insurance,High
Check social media,Low
Submit tax documents,High
Buy groceries for dinner,Medium
Watch new movie,Low
Finish project report,High
Call mom,Medium
Clean the garage,Low
Schedule dentist appointment,Medium
Pay electricity bill,High
Plan weekend trip,Low
Reply to client emails,High
Water the plants,Low
Prepare presentation slides,High
Go for a run,Medium
Read a book,Low
Update software,Medium
Fix critical bug,High
Buy birthday gift,Medium
Organize desktop files,Low
Renew insurance,High
Check social media,Low
Submit tax documents,High
Buy groceries for dinner,Medium
Watch new movie,Low
Finish project report,High
Call mom,Medium
Clean the garage,Low
Schedule dentist appointment,Medium
Pay electricity bill,High
Plan weekend trip,Low
Reply to client emails,High
Water the plants,Low
Prepare presentation slides,High
Go for a run,Medium
Read a book,Low
Update software,Medium
Fix critical bug,High
Buy birthday gift,Medium
Organize desktop files,Low
Renew insurance,High
Check social media,Low
Submit tax documents,High
Buy groceries for dinner,Medium
Watch new movie,Low
Finish project report,High
Call mom,Medium
Clean the garage,Low
Schedule dentist appointment,Medium
Pay electricity bill,High
Plan weekend trip,Low
Reply to client emails,High
Water the plants,Low
Prepare presentation slides,High
Go for a run,Medium
Read a book,Low
Update software,Medium
Fix critical bug,High
Buy birthday gift,Medium
Organize desktop files,Low
Renew insurance,High
Check social media,Low
Submit tax documents,High
Buy groceries for dinner,Medium
Watch new movie,Low
Finish project report,High
Call mom,Medium
Clean the garage,Low
Schedule dentist appointment,Medium
Pay electricity bill,High
Plan weekend trip,Low
Reply to client emails,High
Water the plants,Low
Prepare presentation slides,High
Go for a run,Medium
Read a book,Low
Update software,Medium
Fix critical bug,High
Buy birthday gift,Medium
Organize desktop files,Low
Renew insurance,High
Check social media,Low
Submit tax documents,High
Buy groceries for dinner,Medium
Watch new movie,Low
Finish project report,High
Call mom,Medium
Clean the garage,Low
Schedule dentist appointment,Medium
Pay electricity bill,High
Plan weekend trip,Low
Reply to client emails,High
Water the plants,Low
Prepare presentation slides,High
Go for a run,Medium
Read a book,Low
Update software,Medium
Fix critical bug,High
Buy birthday gift,Medium
Organize desktop files,Low
Renew insurance,High
Check social media,Low
Submit tax documents,High
Buy groceries for dinner,Medium
Watch new movie,Low
Finish project report,High
Call mom,Medium
Clean the garage,Low
Schedule dentist appointment,Medium
Pay electricity bill,High
Plan weekend trip,Low
Reply to client emails,High
Water the plants,Low
Prepare presentation slides,High
Go for a run,Medium
Read a book,Low
Update software,Medium
Fix critical bug,High
Buy birthday gift,Medium
Organize desktop files,Low
Renew insurance,High
Check social media,Low
Submit tax documents,High
Buy groceries for dinner,Medium
Watch new movie,Low
Finish project report,High
Call mom,Medium
Clean the garage,Low
Schedule dentist appointment,Medium
Pay electricity bill,High
Plan weekend trip,Low
Reply to client emails,High
Water the plants,Low
Prepare presentation slides,High
Go for a run,Medium
Read a book,Low
Update software,Medium
Fix critical bug,High
Buy birthday gift,Medium
Organize desktop files,Low
Renew insurance,High
Check social media,Low
Submit tax documents,High
Buy groceries for dinner,Medium
Watch new movie,Low
Finish project report,High
Call mom,Medium
Clean the garage,Low
Schedule dentist appointment,Medium
Pay electricity bill,High
Plan weekend trip,Low
Reply to client emails,High
Water the plants,Low
Prepare presentation slides,High
Go for a run,Medium
Read a book,Low
Update software,Medium
Fix critical bug,High
Buy birthday gift,Medium
Organize desktop files,Low
Renew insurance,High
Check social media,Low
Submit tax documents,High
Buy groceries for dinner,Medium
Watch new movie,Low
Finish project report,High
Call mom,Medium
Clean the garage,Low
Schedule dentist appointment,Medium
Pay electricity bill,High
Plan weekend trip,Low
Reply to client emails,High
Water the plants,Low
Prepare presentation slides,High
Go for a run,Medium
Read a book,Low
Update software,Medium
Fix critical bug,High
Buy birthday gift,Medium
Organize desktop files,Low
Renew insurance,High
Check social media,Low
Submit tax documents,High
Buy groceries for dinner,Medium
Watch new movie,Low
Finish project report,High
Call mom,Medium
Clean the garage,Low
Schedule dentist appointment,Medium
Pay electricity bill,High
Plan weekend trip,Low
Reply to client emails,High
Water the plants,Low
Prepare presentation slides,High
Go for a run,Medium
Read a book,Low
Update software,Medium
Fix critical bug,High
Buy birthday gift,Medium
Organize desktop files,Low
Renew insurance,High
Check social media,Low
Submit tax documents,High
Buy groceries for dinner,Medium
Watch new movie,Low
Finish project report,High
Call mom,Medium
Clean the garage,Low
Schedule dentist appointment,Medium
Pay electricity bill,High
Plan weekend trip,Low
Reply to client emails,High
Water the plants,Low
Prepare presentation slides,High
Go for a run,Medium
Read a book,Low
Update software,Medium
Fix critical bug,High
Buy birthday gift,Medium
Organize desktop files,Low
Renew insurance,High
Check social media,Low
Submit tax documents,High
Buy groceries for dinner,Medium
Watch new movie,Low
Finish project report,High
Call mom,Medium
Clean the garage,Low
Schedule dentist appointment,Medium
Pay electricity bill,High
Plan weekend trip,Low
Reply to client emails,High
Water the plants,Low
Prepare presentation slides,High
Go for a run,Medium
Read a book,Low
Update software,Medium
Fix critical bug,High
Buy birthday gift,Medium
Organize desktop files,Low
Renew insurance,High
Check social media,Low
Submit tax documents,High
Buy groceries for dinner,Medium
Watch new movie,Low
Finish project report,High
Call mom,Medium
Clean the garage,Low
Schedule dentist appointment,Medium
Pay electricity bill,High
Plan weekend trip,Low
Reply to client emails,High
Water the plants,Low
Prepare presentation slides,High
Go for a run,Medium
Read a book,Low
Update software,Medium
Fix critical bug,High
Buy birthday gift,Medium
Organize desktop files,Low
Renew insurance,High
Check social media,Low
Submit tax documents,High
Buy groceries for dinner,Medium
Watch new movie,Low
Finish project report,High
Call mom,Medium
Clean the garage,Low
Schedule dentist appointment,Medium
Pay electricity bill,High
Plan weekend trip,Low
Reply to client emails,High
Water the plants,Low
Prepare presentation slides,High
Go for a run,Medium
Read a book,Low
Update software,Medium
Fix critical bug,High
Buy birthday gift,Medium
Organize desktop files,Low
Renew insurance,High
Check social media,Low
Submit tax documents,High
Buy groceries for dinner,Medium
Watch new movie,Low
Finish project report,High
Call mom,Medium
Clean the garage,Low
Schedule dentist appointment,Medium
Pay electricity bill,High
Plan weekend trip,Low
Reply to client emails,High
Water the plants,Low
Prepare presentation slides,High
Go for a run,Medium
Read a book,Low
Update software,Medium
Fix critical bug,High
Buy birthday gift,Medium
Organize desktop files,Low
Renew insurance,High
Check social media,Low
Submit tax documents,High
Buy groceries for dinner,Medium
Watch new movie,Low
Finish project report,High
Call mom,Medium
Clean the garage,Low
Schedule dentist appointment,Medium
Pay electricity bill,High
Plan weekend trip,Low
Reply to client emails,High
Water the plants,Low
Prepare presentation slides,High
Go for a run,Medium
Read a book,Low
Update software,Medium
Fix critical bug,High
Buy birthday gift,Medium
Organize desktop files,Low
Renew insurance,High
Check social media,Low
Submit tax documents,High
Buy groceries for dinner,Medium
Watch new movie,Low
Finish project report,High
Call mom,Medium
Clean the garage,Low
Schedule dentist appointment,Medium
Pay electricity bill,High
Plan weekend trip,Low
Reply to client emails,High
Water the plants,Low
Prepare presentation slides,High
Go for a run,Medium
Read a book,Low
Update software,Medium
Fix critical bug,High
Buy birthday gift,Medium
Organize desktop files,Low
Renew insurance,High
Check social media,Low
Submit tax documents,High
Buy groceries for dinner,Medium
Watch new movie,Low
Finish project report,High
Call mom,Medium
Clean the garage,Low
Schedule dentist appointment,Medium
Pay electricity bill,High
Plan weekend trip,Low
Reply to client emails,High
Water the plants,Low
Prepare presentation slides,High
Go for a run,Medium
Read a book,Low
Update software,Medium
Fix critical bug,High
Buy birthday gift,Medium
Organize desktop files,Low
Renew insurance,High
Check social media,Low
Submit tax documents,High
Buy groceries for dinner,Medium
Watch new movie,Low
Finish project report,High
Call mom,Medium
Clean the garage,Low
Schedule dentist appointment,Medium
Pay electricity bill,High
Plan weekend trip,Low
Reply to client emails,High
Water the plants,Low
Prepare presentation slides,High
Go for a run,Medium
Read a book,Low
Update software,Medium
Fix critical bug,High
Buy birthday gift,Medium
Organize desktop files,Low
Renew insurance,High
Check social media,Low
Submit tax documents,High
Buy groceries for dinner,Medium
Watch new movie,Low
Finish project report,High
Call mom,Medium
Clean the garage,Low
Schedule dentist appointment,Medium
Pay electricity bill,High
Plan weekend trip,Low
Reply to client emails,High
Water the plants,Low
Prepare presentation slides,High
Go for a run,Medium
Read a book,Low
Update software,Medium
Fix critical bug,High
Buy birthday gift,Medium
Organize desktop files,Low
Renew insurance,High
Check social media,Low
Submit tax documents,High
Buy groceries for dinner,Medium
Watch new movie,Low
Finish project report,High
Call mom,Medium
Clean the garage,Low
Schedule dentist appointment,Medium
Pay electricity bill,High
Plan weekend trip,Low
Reply to client emails,High
Water the plants,Low
Prepare presentation slides,High
Go for a run,Medium
Read a book,Low
Update software,Medium
Fix critical bug,High
Buy birthday gift,Medium
Organize desktop files,Low
Renew insurance,High
Check social media,Low
Submit tax documents,High
Buy groceries for dinner,Medium
Watch new movie,Low
Finish project report,High
Call mom,Medium
Clean the garage,Low
Schedule dentist appointment,Medium
Pay electricity bill,High
Plan weekend trip,Low
Reply to client emails,High
Water the plants,Low
Prepare presentation slides,High
Go for a run,Medium
Read a book,Low
Update software,Medium
Fix critical bug,High
Buy birthday gift,Medium
Organize desktop files,Low
Renew insurance,High
Check social media,Low
Submit tax documents,High
Buy groceries for dinner,Medium
Watch new movie,Low
Finish project report,High
Call mom,Medium
Clean the garage,Low
Schedule dentist appointment,Medium
Pay electricity bill,High
Plan weekend trip,Low
Reply to client emails,High
Water the plants,Low
Prepare presentation slides,High
Go for a run,Medium
Read a book,Low
Update software,Medium
Fix critical bug,High
Buy birthday gift,Medium
Organize desktop files,Low
Renew insurance,High
Check social media,Low
Submit tax documents,High
Buy groceries for dinner,Medium
Watch new movie,Low
Finish project report,High
Call mom,Medium
Clean the garage,Low
Schedule dentist appointment,Medium
Pay electricity bill,High
Plan weekend trip,Low
Reply to client emails,High
Water the plants,Low
Prepare presentation slides,High
Go for a run,Medium
Read a book,Low
Update software,Medium
Fix critical bug,High
Buy birthday gift,Medium
Organize desktop files,Low
Renew insurance,High
Check social media,Low
Submit tax documents,High
Buy groceries for dinner,Medium
Watch new movie,Low
Finish project report,High
Call mom,Medium
Clean the garage,Low
Schedule dentist appointment,Medium
Pay electricity bill,High
Plan weekend trip,Low
Reply to client emails,High
Water the plants,Low
Prepare presentation slides,High
Go for a run,Medium
Read a book,Low
Update software,Medium
Fix critical bug,High
Buy birthday gift,Medium
Organize desktop files,Low
Renew insurance,High
Check social media,Low
Submit tax documents,High
Buy groceries for dinner,Medium
Watch new movie,Low
Finish project report,High
Call mom,Medium
Clean the garage,Low
Schedule dentist appointment,Medium
Pay electricity bill,High
Plan weekend trip,Low
Reply to client emails,High
Water the plants,Low
Prepare presentation slides,High
Go for a run,Medium
Read a book,Low
Update software,Medium
Fix critical bug,High
Buy birthday gift,Medium
Organize desktop files,Low
Renew insurance,High
Check social media,Low
Submit tax documents,High
Buy groceries for dinner,Medium
Watch new movie,Low
Finish project report,High
Call mom,Medium
Clean the garage,Low
Schedule dentist appointment,Medium
Pay electricity bill,High
Plan weekend trip,Low
Reply to client emails,High
Water the plants,Low
Prepare presentation slides,High
Go for a run,Medium
Read a book,Low
Update software,Medium
Fix critical bug,High
Buy birthday gift,Medium
Organize desktop files,Low
Renew insurance,High
Check social media,Low
Submit tax documents,High
Buy groceries for dinner,Medium
Watch new movie,Low
Finish project report,High
Call mom,Medium
Clean the garage,Low
Schedule dentist appointment,Medium
Pay electricity bill,High
Plan weekend trip,Low
Reply to client emails,High
Water the plants,Low
Prepare presentation slides,High
Go for a run,Medium
Read a book,Low
Update software,Medium
Fix critical bug,High
Buy birthday gift,Medium
Organize desktop files,Low
Renew insurance,High
Check social media,Low
Submit tax documents,High
Buy groceries for dinner,Medium
Watch new movie,Low
Finish project report,High
Call mom,Medium
Clean the garage,Low
Schedule dentist appointment,Medium
Pay electricity bill,High
Plan weekend trip,Low
Reply to client emails,High
Water the plants,Low
Prepare presentation slides,High
Go for a run,Medium
Read a book,Low
Update software,Medium
Fix critical bug,High
Buy birthday gift,Medium
Organize desktop files,Low
Renew insurance,High
Check social media,Low
Submit tax documents,High
Buy groceries for dinner,Medium
Watch new movie,Low
Finish project report,High
Call mom,Medium
Clean the garage,Low
Schedule dentist appointment,Medium
Pay electricity bill,High
Plan weekend trip,Low
Reply to client emails,High
Water the plants,Low
Prepare presentation slides,High
Go for a run,Medium
Read a book,Low
Update software,Medium
Fix critical bug,High
Buy birthday gift,Medium
Organize desktop files,Low
Renew insurance,High
Check social media,Low
Submit tax documents,High
Buy groceries for dinner,Medium
Watch new movie,Low
Finish project report,High
Call mom,Medium
Clean the garage,Low
Schedule dentist appointment,Medium
Pay electricity bill,High
Plan weekend trip,Low
Reply to client emails,High
Water the plants,Low
Prepare presentation slides,High
Go for a run,Medium
Read a book,Low
Update software,Medium
Fix critical bug,High
Buy birthday gift,Medium
Organize desktop files,Low
Renew insurance,High
Check social media,Low
Submit tax documents,High
Buy groceries for dinner,Medium
Watch new movie,Low
Finish project report,High
Call mom,Medium
Clean the garage,Low
Schedule dentist appointment,Medium
Pay electricity bill,High
Plan weekend trip,Low
Reply to client emails,High
Water the plants,Low
Prepare presentation slides,High
Go for a run,Medium
Read a book,Low
Update software,Medium
Fix critical bug,High
Buy birthday gift,Medium
Organize desktop files,Low
Renew insurance,High
Check social media,Low
Submit tax documents,High
Buy groceries for dinner,Medium
Watch new movie,Low
Finish project report,High
Call mom,Medium
Clean the garage,Low
Schedule dentist appointment,Medium
Pay electricity bill,High
Plan weekend trip,Low
Reply to client emails,High
Water the plants,Low
Prepare presentation slides,High
Go for a run,Medium
Read a book,Low
Update software,Medium
Fix critical bug,High
Buy birthday gift,Medium
Organize desktop files,Low
Renew insurance,High
Check social media,Low
Submit tax documents,High
Buy groceries for dinner,Medium
Watch new movie,Low
Finish project report,High
Call mom,Medium
Clean the garage,Low
Schedule dentist appointment,Medium
Pay electricity bill,High
Plan weekend trip,Low
Reply to client emails,High
Water the plants,Low
Prepare presentation slides,High
Go for a run,Medium
Read a book,Low
Update software,Medium
Fix critical bug,High
Buy birthday gift,Medium
Organize desktop files,Low
Renew insurance,High
Check social media,Low
Submit tax documents,High
Buy groceries for dinner,Medium
Watch new movie,Low
Finish project report,High
Call mom,Medium
Clean the garage,Low
Schedule dentist appointment,Medium
Pay electricity bill,High
Plan weekend trip,Low
Reply to client emails,High
Water the plants,Low
Prepare presentation slides,High
Go for a run,Medium
Read a book,Low
Update software,Medium
Fix critical bug,High
Buy birthday gift,Medium
Organize desktop files,Low
Renew insurance,High
Check social media,Low
Submit tax documents,High
Buy groceries for dinner,Medium
Watch new movie,Low
Finish project report,High
Call mom,Medium
Clean the garage,Low
Schedule dentist appointment,Medium
Pay electricity bill,High
Plan weekend trip,Low
Reply to client emails,High
Water the plants,Low
Prepare presentation slides,High
Go for a run,Medium
Read a book,Low
Update software,Medium
Fix critical bug,High
Buy birthday gift,Medium
Organize desktop files,Low
Renew insurance,High
Check social media,Low
Submit tax documents,High
Buy groceries for dinner,Medium
Watch new movie,Low
Finish project report,High
Call mom,Medium
Clean the garage,Low
Schedule dentist appointment,Medium
Pay electricity bill,High
Plan weekend trip,Low
Reply to client emails,High
Water the plants,Low
Prepare presentation slides,High
Go for a run,Medium
Read a book,Low
Update software,Medium
Fix critical bug,High
Buy birthday gift,Medium
Organize desktop files,Low
Renew insurance,High
Check social media,Low
Submit tax documents,High
Buy groceries for dinner,Medium
Watch new movie,Low
Finish project report,High
Call mom,Medium
Clean the garage,Low
Schedule dentist appointment,Medium
Pay electricity bill,High
Plan weekend trip,Low
Reply to client emails,High
Water the plants,Low
Prepare presentation slides,High
Go for a run,Medium
Read a book,Low
Update software,Medium
Fix critical bug,High
Buy birthday gift,Medium
Organize desktop files,Low
Renew insurance,High
Check social media,Low
Submit tax documents,High
Buy groceries for dinner,Medium
Watch new movie,Low
Finish project report,High
Call mom,Medium
Clean the garage,Low
Schedule dentist appointment,Medium
Pay electricity bill,High
Plan weekend trip,Low
Reply to client emails,High
Water the plants,Low
Prepare presentation slides,High
Go for a run,Medium
Read a book,Low
Update software,Medium
Fix critical bug,High
Buy birthday gift,Medium
Organize desktop files,Low
Renew insurance,High
Check social media,Low
Submit tax documents,High
Buy groceries for dinner,Medium
Watch new movie,Low
Finish project report,High
Call mom,Medium
Clean the garage,Low
Schedule dentist appointment,Medium
Pay electricity bill,High
Plan weekend trip,Low
Reply to client emails,High
Water the plants,Low
Prepare presentation slides,High
Go for a run,Medium
Read a book,Low
Update software,Medium
Fix critical bug,High
Buy birthday gift,Medium
Organize desktop files,Low
Renew insurance,High
Check social media,Low
Submit tax documents,High
Buy groceries for dinner,Medium
Watch new movie,Low
Finish project report,High
Call mom,Medium
Clean the garage,Low
Schedule dentist appointment,Medium
Pay electricity bill,High
Plan weekend trip,Low
Reply to client emails,High
Water the plants,Low
Prepare presentation slides,High
Go for a run,Medium
Read a book,Low
Update software,Medium
Fix critical bug,High
Buy birthday gift,Medium
Organize desktop files,Low
Renew insurance,High
Check social media,Low
Submit tax documents,High
Buy groceries for dinner,Medium
Watch new movie,Low
Finish project report,High
Call mom,Medium
Clean the garage,Low
Schedule dentist appointment,Medium
Pay electricity bill,High
Plan weekend trip,Low
Reply to client emails,High
Water the plants,Low
Prepare presentation slides,High
Go for a run,Medium
Read a book,Low
Update software,Medium
Fix critical bug,High
Buy birthday gift,Medium
Organize desktop files,Low
Renew insurance,High
Check social media,Low
Submit tax documents,High
Buy groceries for dinner,Medium
Watch new movie,Low
Finish project report,High
Call mom,Medium
Clean the garage,Low
Schedule dentist appointment,Medium
Pay electricity bill,High
Plan weekend trip,Low
Reply to client emails,High
Water the plants,Low
Prepare presentation slides,High
Go for a run,Medium
Read a book,Low
Update software,Medium
Fix critical bug,High
Buy birthday gift,Medium
Organize desktop files,Low
Renew insurance,High
Check social media,Low
Submit tax documents,High
Buy groceries for dinner,Medium
Watch new movie,Low
Finish project report,High
Call mom,Medium
Clean the garage,Low
Schedule dentist appointment,Medium
Pay electricity bill,High
Plan weekend trip,Low
Reply to client emails,High
Water the plants,Low
Prepare presentation slides,High
Go for a run,Medium
Read a book,Low
Update software,Medium
Fix critical bug,High
Buy birthday gift,Medium
Organize desktop files,Low
Renew insurance,High
Check social media,Low
